"","Age","Sex","r.HD","p.HD"
"118",58,"Male",0.005403,0.00538843004779443
"119",59,"Female",0.004943,0.0049308034795752
"120",59,"Male",0.006314,0.00629410858880863
"121",60,"Female",0.005215,0.00520142549476621
"122",60,"Male",0.00735,0.00732305480613982
"123",61,"Female",0.00564,0.00562412505891108
"124",61,"Male",0.007975,0.00794328405505584
"125",62,"Female",0.006665,0.00664283815107547
"126",62,"Male",0.009177,0.00913501985092302
"127",63,"Female",0.006747,0.00672429009877162
"128",63,"Male",0.01008,0.0100293670694569
"129",64,"Female",0.00708,0.00705499584460612
"130",64,"Male",0.010281,0.0102283311701139
"131",65,"Female",0.008426,0.00839060075644882
"132",65,"Male",0.01186,0.0117899474147141
"133",66,"Female",0.008426,0.00839060075644882
"134",66,"Male",0.012654,0.0125742747772982
"135",67,"Female",0.009946,0.0098967021162909
"136",67,"Male",0.014537,0.0144318479638726
"137",68,"Female",0.01066,0.010603383555684
"138",68,"Male",0.015728,0.0156049609055211
"139",69,"Female",0.011199,0.0111365246375186
"140",69,"Male",0.016888,0.0167461971059039
"141",70,"Female",0.012766,0.0126848602656202
"142",70,"Male",0.018853,0.0186763937892724
"143",71,"Female",0.013602,0.0135099108032614
"144",71,"Male",0.020879,0.0206625427671659
"145",72,"Female",0.014924,0.0148131890444522
"146",72,"Male",0.023738,0.0234584698751295
"147",73,"Female",0.016246,0.0161147454901657
"148",73,"Male",0.025722,0.0253940075825937
"149",74,"Female",0.018962,0.0187833522330083
"150",74,"Male",0.030018,0.0295719343138845
"151",75,"Female",0.020207,0.0200042068198016
"152",75,"Male",0.031494,0.0310032295830798
"153",76,"Female",0.022838,0.0225791868800208
"154",76,"Male",0.035992,0.0353519893636606
"155",77,"Female",0.026166,0.0258266365924796
"156",77,"Male",0.040221,0.0394228718524993
"157",78,"Female",0.028872,0.0284591862677602
"158",78,"Male",0.044294,0.043327345636867
"159",79,"Female",0.033295,0.0327468221901647
"160",79,"Male",0.051781,0.050463207368229
"161",80,"Female",0.038517,0.0377846530601214
"162",80,"Male",0.060492,0.0586987006013208
"163",81,"Female",0.042594,0.0416996189487756
"164",81,"Male",0.066799,0.0646168055350783
"165",82,"Female",0.050405,0.0491557454140362
"166",82,"Male",0.076763,0.073890684492992
